ID,Name,UserType,Subject,Date,Time
1234,marcilla,student,rizal,2025-04-28,20:04:03
1235,lola,student,research,2025-04-28,20:05:04
4321,mik,student,ethics,2025-04-28,20:19:50
9999,kate,student,micro,2025-04-28,20:29:51
5555,bey,professor,elective,2025-04-28,20:47:00
8888,bey,professor,comnet,2025-04-29,14:38:58
9999,liv,student,fcl,2025-04-29,15:01:23
7777,nics,student,FCL,2025-04-29,17:56:31
7777,nics,PY_VAR0,micro,2025-04-29,18:08:30
7777,nics,PY_VAR0,micro,2025-04-29,18:09:02
1234,marcilla,PY_VAR0,micro,2025-04-29,18:09:29
7777,nics,PY_VAR0,micro,2025-04-29,18:09:30
7777,nics,PY_VAR0,FCL,2025-04-29,18:12:30
7777,nics,PY_VAR0,ELECTIVE,2025-04-29,18:14:28
1234,marcilla,student,RESEARCH,2025-04-29,18:17:14
7777,nics,student,RESEARCH,2025-04-29,18:17:16
6789,angelo,student,FCL,2025-04-29,18:18:41
6789,angelo,student,MICRO,2025-04-29,18:19:12
7777,nics,student,ETHICS,2025-04-29,18:20:12
6789,angelo,student,COMPUTER NETWORK,2025-04-29,18:21:40
1234,marcilla,student,ethics,2025-04-29,20:49:22
1234,marcilla,student,RIZAL,2025-04-29,20:50:02
1234,marcilla,student,RIZAL,2025-04-29,20:50:43
